Restaurant_Item_Name,Food_Category,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Carbohydrates,Protein,Sugar,Dietary_Fiber
McDonald's McCafe Vanilla Shake w/ Whipped Topping Medium,Beverages,600.0,17.0,11.0,1.0,70.0,200.0,75.0,13.0,72.0,0.0
McDonald's McCafe Vanilla Shake w/ Whipped Topping Large,Beverages,800.0,22.0,14.0,1.0,90.0,280.0,100.0,18.0,99.0,0.0
McDonald's McCafe Mocha w/ Whole Milk Small,Beverages,290.0,9.0,5.0,0.0,25.0,150.0,43.0,10.0,39.0,2.0
McDonald's McCafe Mocha w/ Whole Milk Large,Beverages,450.0,14.0,8.0,0.0,40.0,230.0,66.0,15.0,60.0,2.0
McDonald's McCafe Iced Coffee w/ French Vanilla Syrup Large,Beverages,130.0,0.0,0.0,0.0,0.0,30.0,36.0,2.0,35.0,0.0
McDonald's McCafe Iced Mocha w/ Whole Milk Whipped Topping & Chocolate Drizzle Large,Beverages,470.0,16.0,9.0,0.5,50.0,220.0,69.0,13.0,61.0,2.0
McDonald's McCafe Frappe Caramel w/ Whipped Topping & Caramel Drizzle Medium,Beverages,500.0,21.0,13.0,1.0,75.0,140.0,72.0,8.0,65.0,0.0
McDonald's McCafe Frappe Mocha w/ Whipped Topping & Chocolate Drizzle Medium,Beverages,500.0,20.0,13.0,1.0,70.0,140.0,73.0,8.0,65.0,1.0
McDonald's McCafe Frappe Caramel w/ Whipped Topping & Caramel Drizzle Large,Beverages,670.0,27.0,17.0,1.5,95.0,190.0,96.0,11.0,88.0,0.0
McDonald's McCafe Frappe Mocha w/ Whipped Topping & Chocolate Drizzle Small,Beverages,420.0,17.0,11.0,1.0,60.0,115.0,60.0,6.0,53.0,1.0
McDonald's McCafe Frappe Mocha w/ Whipped Topping & Chocolate Drizzle Large,Beverages,670.0,26.0,17.0,1.0,90.0,190.0,97.0,11.0,88.0,1.0
McDonald's McCafe Mocha w/ Whole Milk Whipped Topping & Chocolate Drizzle Medium,Beverages,410.0,14.0,8.0,0.0,40.0,190.0,60.0,12.0,53.0,2.0
McDonald's McCafe Mocha w/ Whole Milk Whipped Topping & Chocolate Drizzle Small,Beverages,340.0,11.0,7.0,0.0,35.0,150.0,48.0,10.0,42.0,1.0
McDonald's McCafe Mocha w/ Whole Milk Whipped Topping & Chocolate Drizzle Large,Beverages,500.0,17.0,10.0,0.5,50.0,240.0,72.0,16.0,63.0,2.0
McDonald's McCafe Latte w/ Whole Milk & Splenda No Calorie Sweetener Medium,Beverages,210.0,10.0,6.0,0.0,30.0,135.0,19.0,11.0,16.0,1.0
McDonald's McCafe Latte w/ Whole Milk & Splenda No Calorie Sweetener Small,Beverages,170.0,9.0,5.0,0.0,25.0,115.0,15.0,9.0,13.0,1.0
McDonald's McCafe Iced Mocha w/ Nonfat Milk Large,Beverages,310.0,1.0,0.5,0.0,5.0,210.0,62.0,13.0,57.0,2.0
McDonald's McCafe Latte w/ Whole Milk & Splenda No Calorie Sweetener Large,Beverages,280.0,14.0,8.0,0.0,40.0,180.0,24.0,15.0,21.0,1.0
McDonald's McCafe Latte w/ Whole Milk & Equal 0 Calorie Sweetener Medium,Beverages,210.0,10.0,6.0,0.0,30.0,135.0,19.0,11.0,16.0,1.0
McDonald's McCafe Latte w/ Whole Milk & Equal 0 Calorie Sweetener Small,Beverages,170.0,9.0,5.0,0.0,25.0,115.0,15.0,9.0,13.0,1.0
McDonald's McCafe Latte w/ Whole Milk & Equal 0 Calorie Sweetener Large,Beverages,280.0,14.0,8.0,0.0,40.0,180.0,24.0,15.0,21.0,1.0
McDonald's McCafe Iced Mocha w/ Whole Milk Whipped Topping & Chocolate Drizzle Small,Beverages,290.0,11.0,6.0,0.0,35.0,125.0,40.0,8.0,34.0,1.0
McDonald's McCafe Frappe Caramel w/ Whipped Topping & Caramel Drizzle Small,Beverages,420.0,17.0,11.0,1.0,60.0,120.0,59.0,6.0,53.0,0.0
McDonald's McCafe Iced Coffee French Vanilla w/ Light Cream Medium,Beverages,150.0,5.0,3.5,0.0,20.0,60.0,27.0,2.0,25.0,0.0
McDonald's McCafe Latte w/ Whole Milk & Sugar Packet Medium,Beverages,230.0,10.0,6.0,0.0,30.0,140.0,22.0,11.0,19.0,1.0
McDonald's McCafe Latte w/ Whole Milk & Sugar Packet Small,Beverages,190.0,9.0,5.0,0.0,25.0,115.0,18.0,9.0,16.0,1.0
McDonald's McCafe Latte w/ Whole Milk & Sugar Packet Large,Beverages,290.0,14.0,8.0,0.0,40.0,180.0,28.0,15.0,24.0,1.0
McDonald's McCafe Iced Coffee French Vanilla w/ Light Cream Small,Beverages,100.0,4.0,2.5,0.0,15.0,40.0,16.0,2.0,15.0,0.0
McDonald's McCafe Iced Mocha w/ Whole Milk & Whipped Cream Medium,Beverages,330.0,12.0,7.0,0.0,40.0,150.0,47.0,9.0,41.0,1.0
McDonald's McCafe Iced Mocha w/ Nonfat Milk & Whipped Topping Medium,Beverages,270.0,4.5,3.0,0.0,20.0,150.0,48.0,10.0,42.0,1.0
McDonald's McCafe Iced Caramel Mocha w/ Whole Milk & Whipped Topping Small,Beverages,260.0,10.0,6.0,0.0,35.0,135.0,35.0,7.0,31.0,0.0
McDonald's McCafe Iced Caramel Mocha w/ Whole Milk & Whipped Topping Medium,Beverages,320.0,12.0,7.0,0.0,40.0,170.0,44.0,9.0,38.0,1.0
McDonald's McCafe Iced Caramel Mocha w/ Whole Milk & Whipped Topping Large,Beverages,440.0,16.0,9.0,0.5,50.0,250.0,62.0,13.0,55.0,1.0
McDonald's McCafe Iced Mocha w/ Whole Milk Medium,Beverages,270.0,8.0,4.5,0.0,25.0,140.0,41.0,9.0,38.0,1.0
McDonald's McCafe Iced Mocha w/ Whole Milk & Chocolate Drizzle Small,Beverages,220.0,7.0,4.0,0.0,20.0,115.0,34.0,7.0,31.0,1.0
McDonald's McCafe Iced Mocha w/ Whole Milk Large,Beverages,400.0,12.0,7.0,0.0,35.0,210.0,62.0,13.0,57.0,2.0
McDonald's McCafe Iced Mocha w/ Nonfat Milk Small,Beverages,160.0,0.5,0.0,0.0,5.0,110.0,33.0,7.0,30.0,1.0
McDonald's Hot Caramel Sundae w/ Peanuts & Caramel Topping,Desserts,380.0,11.0,5.0,0.0,30.0,160.0,50.0,9.0,44.0,1.0
McDonald's Strawberry Sundae w/ Peanuts & Strawberry Topping,Desserts,320.0,10.0,4.5,0.0,25.0,95.0,40.0,8.0,45.0,1.0
McDonald's Hot Fudge Sundae w/ Peanuts & Hot Fudge Topping,Desserts,380.0,14.0,8.0,0.0,25.0,180.0,43.0,10.0,47.0,3.0
McDonald's 40 Chicken McNuggets,Entrees,1770.0,107.0,18.0,0.5,295.0,3370.0,105.0,98.0,1.0,7.0
McDonald's Steak Egg & Cheese Biscuit Regular,Sandwiches,530.0,30.0,15.0,1.0,230.0,1490.0,40.0,25.0,4.0,3.0
McDonald's Egg White Delight McMuffin,Sandwiches,250.0,8.0,4.5,0.0,35.0,720.0,29.0,17.0,3.0,1.0
McDonald's Steak Egg & Cheese Biscuit on Scratch Biscuit Large,Sandwiches,560.0,32.0,15.0,1.0,265.0,1510.0,43.0,25.0,4.0,3.0
McDonald's Habanero Ranch Sauce,Toppings & Ingredients,80.0,7.0,1.0,0.0,10.0,160.0,5.0,1.0,1.0,0.0
McDonald's Cuties,Appetizers & Sides,35.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0
McDonald's McCafe White Hot Chocolate w/ Whole Milk & Whipped Topping,Beverages,350.0,13.0,8.0,0.0,40.0,180.0,48.0,12.0,46.0,0.0
McDonald's McCafe Iced Coffee French Vanilla w/ Light Cream & French Vanilla Syrup Large,Beverages,220.0,7.0,4.5,0.0,30.0,65.0,40.0,3.0,37.0,0.0
McDonald's White Hot Chocolate w/ Whole Milk & Whipped Cream Medium,Beverages,420.0,15.0,9.0,0.5,50.0,230.0,59.0,14.0,57.0,0.0
McDonald's White Hot Chocolate w/ Whole Milk & Whipped Cream Large,Beverages,520.0,19.0,11.0,0.5,60.0,290.0,71.0,18.0,69.0,0.0
McDonald's McCafe Mocha w/ Nonfat Milk Small,Beverages,220.0,1.0,0.0,0.0,5.0,140.0,43.0,10.0,39.0,1.0
McDonald's McCafe Mocha w/ Nonfat Milk Large,Beverages,340.0,1.0,0.5,0.0,10.0,230.0,67.0,16.0,61.0,2.0
McDonald's White Hot Chocolate w/ Whole Milk Small,Beverages,310.0,10.0,6.0,0.0,35.0,180.0,44.0,11.0,44.0,0.0
McDonald's White Hot Chocolate w/ Whole Milk Medium,Beverages,380.0,13.0,7.0,0.0,40.0,220.0,55.0,14.0,55.0,0.0
McDonald's White Hot Chocolate w/ Whole Milk Large,Beverages,480.0,17.0,10.0,0.0,50.0,280.0,67.0,18.0,67.0,0.0
McDonald's McCafe Iced Caramel Mocha w/ Whole Milk Medium,Beverages,260.0,8.0,4.5,0.0,25.0,160.0,38.0,8.0,35.0,0.0
McDonald's Artisan Grilled Chicken Sandwich,Sandwiches,380.0,6.0,2.0,0.0,95.0,960.0,44.0,37.0,11.0,3.0
McDonald's McCafe Iced Coffee w/ French Vanilla Syrup Medium,Beverages,90.0,0.0,0.0,0.0,0.0,20.0,25.0,1.0,24.0,0.0
McDonald's McCafe Iced Coffee w/ French Vanilla Syrup Small,Beverages,50.0,0.0,0.0,0.0,0.0,15.0,15.0,1.0,14.0,0.0
McDonald's McCafe Iced Coffee w/ Caramel Syrup Large,Beverages,150.0,0.0,0.0,0.0,0.0,25.0,39.0,2.0,38.0,0.0
McDonald's McCafe Iced Coffee w/ Caramel Syrup & Premium Roast Coffee Medium,Beverages,100.0,0.0,0.0,0.0,0.0,15.0,26.0,1.0,26.0,0.0
McDonald's McCafe Iced Coffee w/ Caramel Syrup & Premium Roast Coffee Small,Beverages,70.0,0.0,0.0,0.0,0.0,10.0,20.0,1.0,19.0,0.0
McDonald's McCafe Iced Coffee w/ Hazelnut Syrup & Premium Roast Coffee Large,Beverages,150.0,0.0,0.0,0.0,0.0,25.0,40.0,2.0,38.0,0.0
McDonald's McCafe Iced Coffee w/ Hazelnut Syrup & Premium Roast Coffee Medium,Beverages,100.0,0.0,0.0,0.0,0.0,15.0,26.0,1.0,25.0,0.0
McDonald's McCafe Iced Coffee w/ Hazelnut Syrup & Premium Roast Coffee Small,Beverages,60.0,0.0,0.0,0.0,0.0,10.0,17.0,1.0,16.0,0.0
McDonald's McCafe Iced Coffee w/ Sugar Free French Vanilla Syrup Large,Beverages,45.0,0.0,0.0,0.0,0.0,70.0,13.0,2.0,0.0,0.0
McDonald's McCafe Iced Coffee w/ Sugar Free French Vanilla Syrup Medium,Beverages,30.0,0.0,0.0,0.0,0.0,50.0,9.0,1.0,0.0,0.0
McDonald's McCafe Iced Coffee w/ Sugar Free French Vanilla Syrup Small,Beverages,20.0,0.0,0.0,0.0,0.0,35.0,6.0,1.0,0.0,0.0
McDonald's McCafe Iced Caramel Mocha w/ Whole Milk Small,Beverages,200.0,6.0,3.5,0.0,20.0,130.0,30.0,7.0,27.0,0.0
McDonald's Strawberry & Cream Pie,Desserts,300.0,15.0,9.0,0.0,15.0,190.0,36.0,3.0,15.0,1.0
McDonald's McFlurry w/ Oreo Cookies Snack Size,Desserts,340.0,11.0,6.0,0.0,30.0,180.0,40.0,8.0,42.0,0.0
McDonald's McCafe Iced Coffee Caramel w/ Light Cream Small,Beverages,120.0,4.0,2.5,0.0,15.0,40.0,22.0,1.0,20.0,0.0
McDonald's McCafe Iced Caramel Mocha w/ Whole Milk Whipped Topping & Caramel Drizzle Medium,Beverages,330.0,12.0,7.0,0.0,40.0,180.0,46.0,9.0,39.0,0.0
McDonald's McCafe Caramel Mocha w/ Nonfat Milk Whipped Topping Espresso & Chocolate Caramel Syrup,Beverages,360.0,3.5,2.0,0.0,20.0,260.0,65.0,16.0,58.0,1.0
McDonald's McCafe Caramel Mocha w/ Nonfat Milk Small,Beverages,200.0,0.5,0.0,0.0,5.0,160.0,40.0,10.0,36.0,1.0
McDonald's Buttermilk Crispy Chicken Sandwich,Sandwiches,570.0,23.0,5.0,0.0,60.0,1050.0,64.0,28.0,11.0,4.0
McDonald's Yoplait Go Gurt Low Fat Strawberry Yogurt,Appetizers & Sides,50.0,0.5,0.0,0.0,5.0,30.0,8.0,3.0,6.0,0.0
McDonald's McCafe Caramel Mocha w/ Whole Milk Whipped Topping & Caramel Drizzle Large,Beverages,480.0,17.0,10.0,0.5,50.0,270.0,67.0,15.0,58.0,1.0
McDonald's McCafe Caramel Mocha w/ Whole Milk Whipped Topping & Caramel Drizzle Medium,Beverages,390.0,14.0,8.0,0.0,40.0,220.0,56.0,12.0,48.0,1.0
McDonald's McCafe Caramel Mocha w/ Whole Milk Whipped Topping & Caramel Drizzle Small,Beverages,320.0,11.0,7.0,0.0,35.0,180.0,45.0,10.0,39.0,1.0
McDonald's McCafe Hot Chocolate w/ Whole Milk Whipped Topping & Chocolate Drizzle Large,Beverages,540.0,20.0,12.0,0.5,60.0,280.0,73.0,17.0,68.0,1.0
McDonald's McCafe Hot Chocolate w/ Whole Milk Whipped Topping & Chocolate Drizzle Medium,Beverages,440.0,16.0,9.0,0.5,50.0,220.0,61.0,14.0,56.0,1.0
McDonald's McCafe Hot Chocolate w/ Whole Milk Whipped Topping & Chocolate Drizzle Small,Beverages,360.0,13.0,8.0,0.0,40.0,180.0,50.0,11.0,45.0,1.0
McDonald's McCafe Iced Coffee w/ Liquid Sugar Large,Beverages,160.0,0.0,0.0,0.0,0.0,25.0,41.0,2.0,40.0,0.0
McDonald's McCafe Iced Coffee w/ Liquid Sugar Medium,Beverages,170.0,5.0,3.5,0.0,20.0,60.0,30.0,2.0,28.0,0.0
McDonald's McCafe Iced Coffee w/ Liquid Sugar & Light Cream Small,Beverages,130.0,4.0,2.5,0.0,15.0,40.0,23.0,1.0,22.0,0.0
McDonald's McCafe Iced Coffee w/ Liquid Sugar & Premium Roast Coffee Small,Beverages,80.0,0.0,0.0,0.0,0.0,10.0,21.0,1.0,21.0,0.0
McDonald's McCafe Peppermint Mocha w/ Whole Milk Whipped Topping & Chocolate Drizzle Large,Beverages,500.0,17.0,10.0,1.0,50.0,240.0,71.0,16.0,63.0,1.0
McDonald's McCafe Peppermint Mocha w/ Whole Milk Whipped Topping & Chocolate Drizzle Medium,Beverages,410.0,14.0,8.0,0.5,40.0,190.0,59.0,12.0,52.0,1.0
McDonald's McCafe Peppermint Mocha w/ Whole Milk Whipped Topping & Chocolate Drizzle Small,Beverages,340.0,12.0,7.0,0.5,35.0,150.0,48.0,10.0,42.0,1.0
McDonald's Cinnamon Coffee Cake Muffin,Desserts,430.0,18.0,4.5,0.0,50.0,310.0,62.0,4.0,39.0,1.0
McDonald's Extra Value Meal w/ Bacon Egg & Cheese Biscuit,Entrees,600.0,33.0,0.0,0.0,0.0,0.0,57.0,22.0,0.0,0.0
McDonald's Extra Value Meal w/ Bacon Egg & Cheese McGriddles,Entrees,570.0,27.0,0.0,0.0,0.0,0.0,62.0,22.0,0.0,0.0
McDonald's Extra Value Meal w/ Sausage McMuffin w/ Egg,Entrees,620.0,39.0,0.0,0.0,0.0,0.0,46.0,24.0,0.0,0.0
McDonald's Extra Value Meal w/ Egg McMuffin,Entrees,450.0,21.0,0.0,0.0,0.0,0.0,46.0,21.0,0.0,0.0
McDonald's Extra Value Meal w/ 2 Sausage Burritos,Entrees,440.0,24.0,0.0,0.0,0.0,0.0,43.0,16.0,0.0,0.0
McDonald's Extra Value Meal w/ Sausage Biscuit w/ Egg,Entrees,680.0,43.0,0.0,0.0,0.0,0.0,55.0,20.0,0.0,0.0
McDonald's Extra Value Meal w/ Sausage McGriddles,Entrees,580.0,34.0,0.0,0.0,0.0,0.0,59.0,14.0,0.0,0.0
McDonald's Extra Value Meal w/ Sausage Egg & Cheese McGriddles,Entrees,700.0,41.0,0.0,0.0,0.0,0.0,62.0,23.0,0.0,0.0
McDonald's Extra Value Meal w/ Artisan Grilled Chicken Sandwich,Entrees,930.0,22.0,0.0,0.0,0.0,0.0,147.0,41.0,0.0,0.0
McDonald's Extra Value Meal w/ Big Mac,Entrees,1090.0,44.0,0.0,0.0,0.0,0.0,149.0,29.0,0.0,0.0
McDonald's Extra Value Meal w/ Buttermilk Crispy Chicken Sandwich,Entrees,1130.0,39.0,0.0,0.0,0.0,0.0,168.0,32.0,0.0,0.0
McDonald's Extra Value Meal w/ 10 Chicken Nuggets,Entrees,1000.0,43.0,0.0,0.0,0.0,0.0,129.0,29.0,0.0,0.0
McDonald's Extra Value Meal w/ Double Quarter Pounder w/ Cheese,Entrees,1330.0,61.0,0.0,0.0,0.0,0.0,145.0,55.0,0.0,0.0
McDonald's Extra Value Meal w/ Filet O Fish,Entrees,940.0,34.0,0.0,0.0,0.0,0.0,141.0,21.0,0.0,0.0
McDonald's Extra Value Meal w/ Quarter Pounder w/ Cheese,Entrees,1090.0,43.0,0.0,0.0,0.0,0.0,35.0,144.0,0.0,0.0
McDonald's Fruit & Maple Oatmeal,Entrees,310.0,4.0,1.5,0.0,5.0,140.0,62.0,6.0,33.0,5.0
McDonald's Honey Mustard Sauce,Toppings & Ingredients,50.0,3.0,0.0,0.0,5.0,110.0,6.0,0.0,5.0,1.0
McDonald's McCafe Caramel Macchiato w/ Whole Milk Medium,Beverages,320.0,9.0,5.0,0.0,30.0,430.0,50.0,10.0,45.0,0.0
McDonald's Strawberry & Cream Pie,Desserts,290.0,15.0,9.0,0.0,10.0,160.0,34.0,3.0,13.0,2.0
McDonald's Extra Value Meal w/ Sausage McGriddles & Medium Coffee,Sandwiches,580.0,34.0,10.0,0.0,35.0,1340.0,59.0,15.0,15.0,3.0
McDonald's Extra Value Meal w/ Sausage Burrito & Small Coffee,Sandwiches,440.0,24.0,7.0,0.0,165.0,1140.0,43.0,16.0,3.0,3.0
McDonald's Classic Chicken Sandwich,Sandwiches,510.0,23.0,4.0,0.0,65.0,1040.0,50.0,25.0,6.0,3.0
McDonald's McCafe Vanilla Shake Large,Beverages,800.0,22.0,14.0,1.0,90.0,370.0,99.0,19.0,99.0,0.0
McDonald's Newmans Own Creamy French Dressing,Toppings & Ingredients,300.0,23.0,3.5,0.0,0.0,450.0,22.0,0.0,22.0,1.0
McDonald's Extra Value Meal w/ 20 Pc Nuggets Medium Coke & Medium Fries,Entrees,1440.0,69.0,11.0,0.0,145.0,1970.0,153.0,53.0,58.0,7.0
McDonald's Baked Hot Apple Pie,Desserts,230.0,10.0,6.0,0.0,0.0,170.0,33.0,2.0,13.0,2.0
McDonald's Newmans Own Low Fat Balsamic Vinaigrette,Toppings & Ingredients,35.0,1.5,0.0,0.0,0.0,400.0,5.0,0.0,3.0,0.0
McDonald's Tartar Sauce Cup,Toppings & Ingredients,140.0,15.0,2.5,0.0,10.0,150.0,0.0,0.0,0.0,0.0
McDonald's Artisan Grilled Chicken Sandwich,Sandwiches,380.0,7.0,2.0,0.0,95.0,1110.0,44.0,37.0,11.0,3.0
McDonald's Sprite Extra Small,Beverages,110.0,0.0,0.0,0.0,0.0,50.0,29.0,0.0,29.0,0.0
McDonald's Fanta Orange Small,Beverages,170.0,0.0,0.0,0.0,0.0,40.0,44.0,0.0,43.0,0.0
McDonald's Hotcakes,Entrees,600.0,16.0,7.0,0.0,45.0,610.0,102.0,9.0,45.0,2.0
McDonald's 1/4 lb Sweet BBQ Bacon Burger,Burgers,700.0,38.0,14.0,1.5,110.0,1310.0,52.0,38.0,14.0,3.0
McDonald's McCafe Cappuccino w/ Whole Milk Large,Beverages,210.0,11.0,6.0,0.0,35.0,140.0,17.0,11.0,16.0,0.0
McDonald's McFlurry w/ M&Ms Candies Regular Size,Desserts,630.0,22.0,14.0,0.5,50.0,200.0,77.0,13.0,86.0,2.0
McDonald's 6 Buttermilk Crispy Tenders,Entrees,730.0,40.0,6.0,0.0,155.0,2040.0,34.0,59.0,1.0,2.0
McDonald's Honest Kids Appley Ever After Organic Juice Drink,Beverages,35.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,8.0,0.0
McDonald's Fanta Orange Large,Beverages,120.0,0.0,0.0,0.0,0.0,30.0,33.0,0.0,32.0,0.0
McDonald's Egg White Delight McMuffin,Sandwiches,260.0,8.0,4.5,0.0,35.0,750.0,29.0,16.0,3.0,2.0
McDonald's Sprite Small,Beverages,150.0,0.0,0.0,0.0,0.0,70.0,39.0,0.0,38.0,0.0
McDonald's Extra Value Meal w/ Filet O Fish Medium Coke & Medium Fries,Sandwiches,970.0,36.0,7.0,0.0,50.0,940.0,140.0,22.0,63.0,6.0
McDonald's Fanta Orange Extra Small,Beverages,120.0,0.0,0.0,0.0,0.0,30.0,33.0,0.0,32.0,0.0
McDonald's 1/4 lb Pico Guacamole Burger,Burgers,580.0,33.0,12.0,1.5,95.0,920.0,41.0,29.0,7.0,4.0
McDonald's Sweet N Sour Sauce,Toppings & Ingredients,50.0,0.0,0.0,0.0,0.0,160.0,11.0,1.0,10.0,0.0
McDonald's Extra Value Meal w/ Bacon Egg & Cheese Biscuit,Entrees,600.0,33.0,14.0,0.0,200.0,1640.0,57.0,22.0,3.0,4.0
McDonald's Sprite Large,Beverages,280.0,0.0,0.0,0.0,0.0,130.0,74.0,0.0,73.0,0.0
McDonald's Sweet Tea Extra Small,Beverages,90.0,0.0,0.0,0.0,0.0,15.0,21.0,0.0,21.0,0.0
McDonald's 4 Buttermilk Crispy Tenders,Entrees,490.0,26.0,4.0,0.0,105.0,1360.0,22.0,39.0,1.0,1.0
McDonald's McCafe French Vanilla Cappuccino w/ Whole Milk Large,Beverages,310.0,9.0,5.0,0.0,30.0,120.0,47.0,9.0,45.0,0.0
McDonald's McCafe French Vanilla Latte w/ Whole Milk Large,Beverages,410.0,14.0,8.0,0.0,40.0,190.0,59.0,15.0,56.0,1.0
McDonald's McCafe Chocolate Shake Small,Beverages,530.0,15.0,9.0,0.5,60.0,260.0,68.0,12.0,74.0,1.0
McDonald's McCafe Hot Chocolate w/ Whole Milk Small,Beverages,370.0,14.0,8.0,0.0,40.0,190.0,51.0,11.0,48.0,1.0
McDonald's Bacon Ranch Grilled Chicken Salad,Salads,320.0,14.0,6.0,0.0,135.0,1230.0,9.0,42.0,4.0,3.0
McDonald's Coca Cola Small,Beverages,150.0,0.0,0.0,0.0,0.0,35.0,40.0,0.0,40.0,0.0
McDonald's McCafe Caramel Macchiato w/ Whole Milk Small,Beverages,260.0,7.0,4.0,0.0,25.0,340.0,41.0,8.0,37.0,0.0
McDonald's McCafe Latte w/ Whole Milk Medium,Beverages,190.0,10.0,6.0,0.0,30.0,135.0,15.0,10.0,15.0,0.0
McDonald's McCafe Frappe Chocolate Chip Large,Beverages,760.0,31.0,20.0,1.0,95.0,210.0,110.0,12.0,100.0,1.0
McDonald's Signature Sauce,Toppings & Ingredients,100.0,9.0,1.5,0.0,10.0,180.0,3.0,0.0,2.0,0.0
McDonald's Extra Value Meal w/ Sausage Biscuit,Entrees,680.0,43.0,16.0,0.0,205.0,1480.0,55.0,20.0,3.0,4.0
McDonald's McCafe Caramel Latte w/ Whole Milk Large,Beverages,420.0,14.0,8.0,0.0,40.0,180.0,62.0,15.0,59.0,1.0
McDonald's Sausage Biscuit w/ Egg,Sandwiches,530.0,34.0,15.0,0.0,205.0,1140.0,38.0,17.0,3.0,2.0
McDonald's Powerade Mountain Berry Blast Medium,Beverages,120.0,0.0,0.0,0.0,0.0,160.0,31.0,0.0,31.0,0.0
McDonald's Extra Value Meal w/ Quarter Pounder Medium Coke & Medium Fries,Burgers,1090.0,43.0,15.0,1.5,100.0,1380.0,142.0,35.0,67.0,7.0
McDonald's Coca Cola Extra Small,Beverages,150.0,0.0,0.0,0.0,0.0,35.0,40.0,0.0,40.0,0.0
McDonald's Coca Cola Medium,Beverages,220.0,0.0,0.0,0.0,0.0,50.0,57.0,0.0,57.0,0.0
McDonald's Hash Browns,Fried Potatoes,150.0,9.0,1.5,0.0,0.0,320.0,16.0,1.0,0.0,1.0
McDonald's McCafe French Vanilla Iced Coffee w/ Light Cream Small,Beverages,120.0,5.0,3.5,0.0,20.0,50.0,19.0,2.0,17.0,0.0
McDonald's McCafe Mocha w/ Whole Milk Small,Beverages,340.0,12.0,7.0,0.0,35.0,140.0,49.0,9.0,45.0,2.0
McDonald's Southwest Buttermilk Crispy Chicken Salad,Salads,520.0,25.0,6.0,0.0,75.0,960.0,46.0,28.0,9.0,8.0
McDonald's Strawberry Sundae,Desserts,320.0,10.0,4.5,0.0,25.0,95.0,40.0,8.0,45.0,1.0
McDonald's Extra Value Meal w/ Bacon Egg & Cheese McGriddles & Medium Coffee,Entrees,570.0,27.0,9.0,0.0,195.0,1580.0,63.0,22.0,15.0,4.0
McDonald's McCafe Mocha Frappe Medium,Beverages,510.0,20.0,13.0,1.0,70.0,150.0,73.0,8.0,66.0,1.0
McDonald's Ketchup Packet,Toppings & Ingredients,10.0,0.0,0.0,0.0,0.0,90.0,2.0,0.0,2.0,0.0
McDonald's Big Breakfast w/ Hotcakes,Entrees,1350.0,65.0,25.0,0.5,510.0,2100.0,155.0,35.0,48.0,6.0
McDonald's McCafe Iced Caramel Mocha w/ Whole Milk Small,Beverages,270.0,11.0,6.0,0.0,35.0,140.0,37.0,7.0,31.0,0.0
McDonald's McCafe French Vanilla Latte w/ Whole Milk Small,Beverages,230.0,7.0,4.0,0.0,20.0,100.0,33.0,8.0,32.0,0.0
McDonald's Newmans Own Low Fat Family Recipe Italian Dressing,Toppings & Ingredients,50.0,1.5,0.0,0.0,0.0,380.0,8.0,0.0,2.0,1.0
McDonald's Sausage McMuffin w/ Egg,Sandwiches,470.0,30.0,12.0,0.0,275.0,810.0,30.0,21.0,3.0,2.0
McDonald's Extra Value Meal w/ 6 Pc Nuggets Medium Coke & Medium Fries,Entrees,820.0,32.0,5.0,0.0,45.0,790.0,117.0,19.0,57.0,5.0
McDonald's McCafe Iced Mocha w/ Whole Milk Small,Beverages,290.0,12.0,7.0,0.0,35.0,135.0,40.0,7.0,36.0,0.0
McDonald's Extra Value Meal w/ 10 Pc Nuggets Medium Coke & Medium Fries,Entrees,1000.0,43.0,7.0,0.0,75.0,1120.0,127.0,29.0,57.0,6.0
McDonald's McCafe Latte w/ Whole Milk Small,Beverages,140.0,8.0,4.5,0.0,25.0,100.0,12.0,7.0,11.0,0.0
McDonald's McCafe Caramel Cappuccino w/ Whole Milk Large,Beverages,350.0,9.0,5.0,0.0,30.0,490.0,55.0,11.0,50.0,0.0
McDonald's Powerade Mountain Berry Blast Large,Beverages,120.0,0.0,0.0,0.0,0.0,160.0,31.0,0.0,31.0,0.0
McDonald's Extra Value Meal w/ Egg McMuffin & Medium Coffee,Sandwiches,450.0,21.0,7.0,0.0,245.0,1080.0,47.0,21.0,3.0,3.0
McDonald's Bacon McDouble,Burgers,450.0,22.0,10.0,1.0,85.0,1080.0,34.0,28.0,7.0,2.0
McDonald's McCafe French Vanilla Cappuccino w/ Whole Milk Medium,Beverages,230.0,6.0,3.5,0.0,20.0,85.0,37.0,6.0,35.0,0.0
McDonald's Extra Value Meal w/ Large Bacon Egg & Cheese Biscuit & Small Coffee,Sandwiches,150.0,9.0,1.5,0.0,0.0,340.0,17.0,3.0,0.0,1.0
McDonald's McCafe Mocha Frappe Small,Beverages,420.0,17.0,11.0,0.5,60.0,120.0,60.0,7.0,54.0,1.0
McDonald's Extra Value Meal w/ Sausage McGriddles,Entrees,580.0,34.0,10.0,0.0,35.0,1330.0,59.0,14.0,15.0,3.0
McDonald's McCafe Chocolate Shake Medium,Beverages,630.0,18.0,11.0,1.0,70.0,310.0,81.0,14.0,90.0,1.0
